,species,spp_code,sex,sex_code,ward,county,OD1,OD2,finalod,positivity,result,cchf,age,age_code,id3,id4,herd,ele,slop,mrain,ndvi,lulc,arid,dem,lc,bio1,bio3,bio12,tempmin,tempmax,tempav,hummin,hummax,humav,vphmin,vphmax,vphav
1433,sheep,1,female,1,Garbatulla,Isiolo,0.049,0.056,0.0525,5.888951206,Negative,0,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1434,sheep,1,female,1,Garbatulla,Isiolo,0.468,0.434,0.451,50.58889512,Positive,1,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1435,sheep,1,female,1,Garbatulla,Isiolo,0.923,0.919,0.921,103.3090297,Positive,1,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1436,sheep,1,female,1,Garbatulla,Isiolo,0.052,0.053,0.0525,5.888951206,Negative,0,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1437,sheep,1,male,0,Garbatulla,Isiolo,0.946,1.005,0.9755,109.4223219,Positive,1,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1438,sheep,1,female,1,Garbatulla,Isiolo,0.042,0.042,0.042,6.687898089,Negative,0,adults,1,186,186,186,329,0.205726996,10.42099953,0.411677748,shrub,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18629412,31.39416962,29.20736879,34.28001233,68.76230636,47.32277388,10.79802244,28.85498371,21.45112321
1439,goats,3,male,0,Garbatulla,Isiolo,0.053,0.047,0.05,6.93000693,Negative,0,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1440,goats,3,female,1,Garbatulla,Isiolo,0.065,0.063,0.064,8.87040887,Negative,0,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1441,goats,3,female,1,Garbatulla,Isiolo,0.228,0.218,0.223,30.90783091,Positive,1,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1442,goats,3,male,0,Garbatulla,Isiolo,0.063,0.057,0.06,8.316008316,Negative,0,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1443,goats,3,female,1,Garbatulla,Isiolo,0.069,0.058,0.0635,8.801108801,Negative,0,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1444,sheep,1,female,1,Garbatulla,Isiolo,0.043,0.043,0.043,6.847133758,Negative,0,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1445,sheep,1,male,0,Garbatulla,Isiolo,0.051,0.06,0.0555,8.837579618,Negative,0,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1446,sheep,1,female,1,Garbatulla,Isiolo,0.054,0.055,0.0545,8.678343949,Negative,0,young_adults,2,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1447,sheep,1,female,1,Garbatulla,Isiolo,0.084,0.08,0.082,13.05732484,Negative,0,adults,1,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
